path,size_bytes,created,modified,accessed
/Users/steven/Documents/python/100sort_3_1 1.py,4714,2023-10-14 13:47:13,2023-10-14 13:47:13,2023-10-14 13:47:13
/Users/steven/Documents/python/15days_2_1.py,1682,2023-10-14 14:40:04,2023-10-14 14:40:04,2023-10-14 14:40:04
/Users/steven/Documents/python/300dpi_1 1.py,5092,2023-10-14 13:47:13,2023-10-14 13:47:13,2023-10-14 13:47:13
/Users/steven/Documents/python/50_1_1 1.py,3890,2023-10-14 13:47:14,2023-10-14 13:47:14,2023-10-14 13:47:14
/Users/steven/Documents/python/8mb (2)_1_1 1.py,4782,2023-10-14 13:47:12,2023-10-14 13:47:12,2023-10-14 13:47:12
/Users/steven/Documents/python/8mb_1_1 1.py,4782,2023-10-14 13:47:12,2023-10-14 13:47:12,2023-10-14 13:47:12
/Users/steven/Documents/python/9mb_1_1 1.py,7031,2023-10-14 13:47:13,2023-10-14 13:47:13,2023-10-14 13:47:13
/Users/steven/Documents/python/9mb-up.py,5347,2024-08-10 09:45:33,2024-08-10 09:45:33,2024-08-10 09:45:33
/Users/steven/Documents/python/9mb.html,2822,2025-10-16 22:06:09,2025-10-16 22:06:09,2025-10-16 22:06:09
/Users/steven/Documents/python/9mb.py,2630,2024-08-07 04:29:53,2024-08-07 04:29:53,2024-08-07 04:29:53
/Users/steven/Documents/python/9mbs_1_1 1.py,6489,2023-10-14 13:47:13,2023-10-14 13:47:13,2023-10-14 13:47:13
