prompt,detail,title,description,tags
Create a title for a coffee mug with 'Ocean' theme,Ocean,,,
Generate a description for an Ocean-themed coffee mug,Ocean,,,
Suggest tags for an Ocean-themed coffee mug,Ocean,,,
,,,,
Develop a title for a poster with 'Mountain Landscape',Mountain Landscape,,,
Write a compelling description for a Mountain Landscape poster,Mountain Landscape,,,
Propose tags for a Mountain Landscape poster,Mountain Landscape,,,
,,,,
Generate a title for a T-shirt with a 'Space' theme,Space,,,
Create a catchy description for a Space-themed T-shirt,Space,,,
Suggest tags for a Space-themed T-shirt,Space,,,
